#          STEP          TOTAL        KINETIC      POTENTIAL           HARM          MORSE          ANGLE       DIHEDRAL        NLMORSE
         183000       -188.015        175.605        -363.62        66.4109        -315.57        103.163        32.4583       -250.082
         184000       -207.168        177.199       -384.367        59.8247        -315.49        96.0237        34.1121       -258.838
         185000       -214.626        178.858       -393.485        58.0899       -322.336        101.866         28.271       -259.376
         186000       -194.321        160.139       -354.459        69.1625       -302.051        98.8738        25.3628       -245.807
         187000       -186.508        177.885       -364.393        66.1024       -309.909        101.799          26.58       -248.965
         188000       -160.679        199.095       -359.775        60.7542        -309.44        101.493        30.9059       -243.487
         189000       -208.908        156.074       -364.982        63.4985       -312.914        100.078        27.9639       -243.608
         190000       -214.904        168.895       -383.799         64.071       -315.363        89.6822        29.4075       -251.596
         191000       -190.704        170.418       -361.123         70.253       -314.218        103.796        25.4582       -246.412
         192000       -193.255        176.065       -369.319        65.6133       -313.132        104.875        30.4359       -257.112
         193000       -181.559        186.088       -367.647        63.7851       -312.842        103.046         31.712       -253.348
         194000       -171.076        196.828       -367.903        64.9616        -310.47        96.5695        31.2521       -250.216
         195000       -211.756        167.446       -379.202        59.2122       -311.258        90.1425        27.3825       -244.681
         196000       -210.182         170.12       -380.302        62.3963       -321.004        104.634        27.6251       -253.953
         197000        -185.62        181.043       -366.663        59.9372       -306.197        95.7585        34.0879        -250.25
         198000       -202.259        173.039       -375.298         61.455        -312.61        97.3289        30.7651       -252.237
         199000       -193.192        180.192       -373.385        65.9847       -314.355        97.1964        25.7294        -247.94
         200000       -207.251        175.965       -383.215         65.708       -313.603        88.0625        29.0892       -252.472
         201000       -190.631        170.463       -361.094        71.0822       -312.536        95.5176        34.0098       -249.167
         202000        -212.15        164.282       -376.432        61.7187       -313.584        97.9833        25.6043       -248.154
         203000       -202.071        171.089        -373.16        48.6273       -311.323        101.314        30.8471       -242.625
         204000       -204.139        162.096       -366.235        63.2745       -308.979        96.5738        36.0405       -253.145
         205000       -210.403        175.581       -385.984        57.6475       -312.268        97.1596        27.7984       -256.321
         206000       -195.113        172.452       -367.565        65.6883       -311.698        96.5428        30.0001       -248.098
         207000       -223.971         170.75       -394.721        58.4666       -318.419        99.2157         28.191       -262.175
         208000       -180.716        174.653        -355.37        58.4902       -311.955        105.272        39.9953       -247.172
         209000       -200.741        176.974       -377.715        60.3791       -313.179         100.09        27.6351        -252.64
         210000       -186.158        177.336       -363.495        57.6889       -307.606        97.7923        35.0285       -246.398
         211000       -219.865        170.193       -390.058        56.4278       -317.164        97.8975        27.2018       -254.421
         212000       -199.958        158.487       -358.445        61.2121       -308.841         102.35        37.6516       -250.818
         213000        -166.76        187.981       -354.741        67.7766        -313.62        102.956        30.0631       -241.916
         214000       -201.833        173.053       -374.886        61.3417        -315.66        95.7791        34.0701       -250.418
         215000       -200.292        179.406       -379.698        63.1471       -312.653        98.6179        31.2753       -260.085
         216000       -194.736        163.898       -358.635        60.1639       -300.646        99.3787        31.1784        -248.71
         217000       -212.295         165.72       -378.016         54.976       -309.272        100.002        24.7265       -248.449
         218000       -221.753        164.351       -386.104        55.3759       -321.209        105.423        31.2201       -256.914
         219000       -229.884        158.435        -388.32        55.8661       -316.638        99.2547          26.82       -253.622
         220000       -190.552        187.252       -377.804        62.7313       -313.928        94.2208        27.2747       -248.104
         221000       -196.886        167.335       -364.221         62.716        -317.47        98.0714        35.7706       -243.308
         222000        -211.04        165.098       -376.138        61.0275       -310.198        98.6202        26.3609       -251.949
         223000        -214.55        165.105       -379.655        61.3747       -313.606        99.1668        27.3797        -253.97
         224000        -211.76        165.158       -376.917        53.9635       -311.868        96.3942        34.9112       -250.319
         225000       -238.554        155.789       -394.344        53.1743       -316.484        92.6356        29.5061       -253.175
         226000       -214.649        163.969       -378.619        61.7831       -317.621        97.8066        28.6122         -249.2
         227000       -211.649         167.68       -379.329        62.5513       -313.109        97.0927        28.3323       -254.197
         228000       -207.304        166.159       -373.463        62.3414       -311.714        98.0815        27.1998       -249.371
         229000       -206.014        159.757       -365.771        73.7143       -310.214        95.2958        28.3451       -252.912
